Id,Label,Eccentricity,indegree,outdegree,Degree,clustering,eigencentrality,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree
120,Vladimir,1,135,135,270,0.997844,1,1,1,0.305363,60647,60517,121164
121,JarvanIV,1,135,135,270,0.997844,1,1,1,0.305363,43155,43277,86432
122,Nami,1,135,135,270,0.997844,1,1,1,0.305363,92321,92302,184623
123,Jhin,1,135,135,270,0.997844,1,1,1,0.305363,72506,72346,144852
124,Soraka,1,135,135,270,0.997844,1,1,1,0.305363,72651,72713,145364
125,Veigar,1,135,135,270,0.997844,1,1,1,0.305363,65244,65416,130660
126,Janna,1,135,135,270,0.997844,1,1,1,0.305363,123472,123499,246971
127,Nautilus,1,135,135,270,0.997844,1,1,1,0.305363,69375,69261,138636
128,Evelynn,1,134,135,269,0.997899,0.992683,1,1,0.274591,39587,39526,79113
129,Gragas,1,135,135,270,0.997844,1,1,1,0.305363,113941,113847,227788
130,Zed,1,135,135,270,0.997844,1,1,1,0.305363,115108,115167,230275
131,Vi,1,135,135,270,0.997844,1,1,1,0.305363,61256,61396,122652
132,KogMaw,1,135,135,270,0.997844,1,1,1,0.305363,41000,41062,82062
133,Ahri,1,135,135,270,0.997844,1,1,1,0.305363,199717,199675,399392
134,Quinn,1,133,135,268,0.997955,0.985686,1,1,0.194382,17166,17120,34286
135,Leblanc,1,135,135,270,0.997844,1,1,1,0.305363,53292,53174,106466
136,Ezreal,1,135,135,270,0.997844,1,1,1,0.305363,147847,147839,295686
