"250","1285000021","1","10","10","0","432","BOTTOM","7730844","BR1","420"
"317","1282000025","14","4","8","1","67","BOTTOM","3807669","BR1","420"
"318","1282000025","1","2","20","1","40","BOTTOM","793388","BR1","420"
"319","1282000025","3","8","7","1","41","TOP","8360674","BR1","420"
"320","1282000025","12","4","6","1","107","JUNGLE","408324","BR1","420"
"321","1282000025","3","3","9","1","43","MIDDLE","1850782","BR1","420"
"322","1282000025","6","5","3","0","121","JUNGLE","5714893","BR1","420"
"323","1282000025","5","7","5","0","432","BOTTOM","17783051","BR1","420"
"324","1282000025","1","8","4","0","61","MIDDLE","1767969","BR1","420"
"325","1282000025","4","7","5","0","104","TOP","3202726","BR1","420"
"326","1282000025","5","6","5","0","498","BOTTOM","4396528","BR1","420"
"1337","1285000028","2","5","0","0","202","BOTTOM","3062688","BR1","420"
"1338","1285000028","1","6","3","0","420","TOP","1766416","BR1","420"
"1339","1285000028","1","3","4","0","64","JUNGLE","12233825","BR1","420"
"1340","1285000028","9","9","2","0","45","MIDDLE","13325035","BR1","420"
"1341","1285000028","1","6","6","0","412","BOTTOM","15451487","BR1","420"
"1342","1285000028","7","4","6","1","107","JUNGLE","2443831","BR1","420"
"1343","1285000028","2","4","13","1","497","BOTTOM","485206","BR1","420"
"1344","1285000028","7","3","6","1","498","BOTTOM","2872443","BR1","420"
"1345","1285000028","6","4","8","1","7","MIDDLE","9824495","BR1","420"
"1346","1285000028","7","0","4","1","86","TOP","9915602","BR1","420"
"1362","1280000025","0","4","4","1","89","BOTTOM","20204108","BR1","420"
"1363","1280000025","7","1","8","1","157","JUNGLE","28432465","BR1","420"
"1364","1280000025","1","3","2","1","22","BOTTOM","17512675","BR1","420"
"1365","1280000025","3","1","3","1","75","TOP","22570272","BR1","420"
"1366","1280000025","7","1","4","1","19","JUNGLE","4712935","BR1","420"
"1367","1280000025","1","7","0","0","82","TOP","25551011","BR1","420"
"1368","1280000025","6","1","2","0","222","BOTTOM","23782888","BR1","420"
"1369","1280000025","1","4","0","0","134","JUNGLE","2938712","BR1","420"
"1370","1280000025","2","1","6","0","10","BOTTOM","19490619","BR1","420"
"1371","1280000025","0","5","0","0","48","JUNGLE","21795965","BR1","420"
"1387","1280000026","4","3","14","0","412","BOTTOM","5940215","BR1","420"
"1388","1280000026","7","6","8","0","29","BOTTOM","27684028","BR1","420"
"1389","1280000026","6","8","5","0","133","TOP","3397515","BR1","420"
"1390","1280000026","10","4","7","0","99","MIDDLE","1987384","BR1","420"
"1391","1280000026","3","9","11","0","59","JUNGLE","7364836","BR1","420"
"1392","1280000026","1","4","9","1","12","BOTTOM","13343363","BR1","420"
"1393","1280000026","3","9","1","1","429","BOTTOM","15661381","BR1","420"
"1394","1280000026","15","7","2","1","119","JUNGLE","2796285","BR1","420"
"1395","1280000026","5","5","3","1","126","TOP","23857215","BR1","420"
"1396","1280000026","6","5","5","1","35","JUNGLE","16520332","BR1","420"
"3427","1285000031","9","1","5","1","23","JUNGLE","19821534","BR1","420"
"3428","1285000031","1","2","11","1","57","TOP","18550783","BR1","420"
"3429","1285000031","2","0","16","1","40","BOTTOM","17304475","BR1","420"
"3430","1285000031","8","1","5","1","81","BOTTOM","19591134","BR1","420"
"3431","1285000031","13","1","7","1","101","MIDDLE","14574203","BR1","420"
"3432","1285000031","0","9","0","0","11","JUNGLE","24969131","BR1","420"
"3433","1285000031","1","5","2","0","10","TOP","14724582","BR1","420"
"3434","1285000031","0","5","3","0","412","BOTTOM","9106578","BR1","420"
"3435","1285000031","2","6","0","0","236","BOTTOM","9263977","BR1","420"
"3436","1285000031","2","8","0","0","157","MIDDLE","2143763","BR1","420"
"3492","1282000033","3","5","12","0","201","BOTTOM","2241603","BR1","420"
"3493","1282000033","9","5","5","0","25","MIDDLE","4048373","BR1","420"
"3494","1282000033","7","9","7","0","236","BOTTOM","891001","BR1","420"
"3495","1282000033","2","10","7","0","41","TOP","13544395","BR1","420"
"3496","1282000033","8","7","6","0","29","JUNGLE","15583424","BR1","420"
"3497","1282000033","7","8","5","1","51","BOTTOM","21681163","BR1","420"
"3498","1282000033","5","5","11","1","21","BOTTOM","6402417","BR1","420"
"3499","1282000033","8","8","7","1","92","TOP","19160855","BR1","420"
"3500","1282000033","11","3","7","1","11","JUNGLE","16504246","BR1","420"
"3501","1282000033","5","5","5","1","105","MIDDLE","26890748","BR1","420"
"3522","1280000033","4","0","5","1","78","TOP","14952451","BR1","420"
"3523","1280000033","2","2","9","1","201","BOTTOM","17094405","BR1","420"
"3524","1280000033","7","2","6","1","222","BOTTOM","5486597","BR1","420"
"3525","1280000033","10","2","7","1","99","MIDDLE","3221853","BR1","420"
"3526","1280000033","7","5","5","1","141","JUNGLE","7232043","BR1","420"
"3527","1280000033","2","11","5","0","92","JUNGLE","8191998","BR1","420"
"3528","1280000033","5","7","1","0","157","JUNGLE","2257810","BR1","420"
"3529","1280000033","0","4","7","0","16","BOTTOM","25881735","BR1","420"
"3530","1280000033","3","5","5","0","35","JUNGLE","4977946","BR1","420"
"3531","1280000033","1","3","4","0","81","BOTTOM","15931729","BR1","420"
"3552","1280000035","0","0","0","1","105","MIDDLE","9898673","BR1","420"
"3553","1280000035","0","0","1","1","12","BOTTOM","12752935","BR1","420"
"3554","1280000035","0","0","1","1","102","JUNGLE","21997768","BR1","420"
"3555","1280000035","2","0","0","1","110","BOTTOM","4074892","BR1","420"
"3556","1280000035","0","0","0","1","92","TOP","22974563","BR1","420"
"3557","1280000035","0","0","0","0","497","JUNGLE","4727362","BR1","420"
"3558","1280000035","0","0","0","0","17","TOP","5434509","BR1","420"
"3559","1280000035","0","1","0","0","111","BOTTOM","25402250","BR1","420"
"3560","1280000035","0","0","0","0","222","MIDDLE","18851443","BR1","420"
"3561","1280000035","0","1","0","0","45","MIDDLE","18704345","BR1","420"
"3562","1285000041","4","7","3","0","245","MIDDLE","20601799","BR1","420"
"3563","1285000041","8","8","4","0","15","BOTTOM","18506522","BR1","420"
"3564","1285000041","0","10","9","0","497","BOTTOM","29612290","BR1","420"
"3565","1285000041","1","12","1","0","222","TOP","4832005","BR1","420"
"3566","1285000041","5","9","5","0","35","JUNGLE","15340186","BR1","420"
"3567","1285000041","19","4","8","1","119","BOTTOM","13913995","BR1","420"
"3568","1285000041","4","1","16","1","53","BOTTOM","22693996","BR1","420"
